2025-06-18T22:00:00.009288 INFO   [main] [Bolt::Logger] Loaded project from '/home/boltuser/workspace/puppet'
2025-06-18T22:00:00.010446 DEBUG  [main] [Bolt::Logger] Analytics opt-out is set, analytics will be disabled
2025-06-18T22:00:00.012564 DEBUG  [main] [Bolt::Executor] Started with 100 max thread(s)
2025-06-18T22:00:00.013781 DEBUG  [main] [Bolt::PAL] Loading modules from /usr/local/bundle/gems/bolt-4.0.0/bolt-modules:/home/boltuser/workspace/puppet/site-modules:/home/boltuser/workspace/puppet/modules:/home/boltuser/workspace/puppet/.modules:/usr/local/bundle/gems/bolt-4.0.0/modules
2025-06-18T22:00:00.019599 DEBUG  [main] [Bolt::Inventory] Loaded inventory from /home/boltuser/workspace/inventory.yaml
2025-06-18T22:00:00.477622 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: plan pi_cluster_automation::deploy
2025-06-18T22:00:00.478436 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting deployment on environment: dev
2025-06-18T22:00:00.481209 INFO   [event-publisher] [Bolt::Outputter::Logger] Found 1 master(s) and 3 worker(s)
2025-06-18T22:00:00.483001 INFO   [event-publisher] [Bolt::Outputter::Logger] Phase 1: Configuring base system on all nodes
2025-06-18T22:00:00.484075 INFO   [event-publisher] [Bolt::Outputter::Logger] Starting: command 'apt-get update' on pi-master, pi-worker-1, pi-worker-2, pi-worker-3
2025-06-18T22:00:00.529765 INFO   [exec-worker-1] [Bolt::Executor] Running command 'apt-get update' on ["pi-master"]
2025-06-18T22:00:00.531042 DEBUG  [exec-worker-1] [Bolt::Transport::SSH] Running command 'apt-get update' on pi-master
2025-06-18T22:00:00.530340 INFO   [exec-worker-3] [Bolt::Executor] Running command 'apt-get update' on ["pi-worker-2"]
2025-06-18T22:00:00.532941 DEBUG  [exec-worker-3] [Bolt::Transport::SSH] Running command 'apt-get update' on pi-worker-2
2025-06-18T22:00:00.530148 INFO   [exec-worker-2] [Bolt::Executor] Running command 'apt-get update' on ["pi-worker-1"]
2025-06-18T22:00:00.534387 DEBUG  [exec-worker-2] [Bolt::Transport::SSH] Running command 'apt-get update' on pi-worker-1
2025-06-18T22:00:00.530657 INFO   [exec-worker-4] [Bolt::Executor] Running command 'apt-get update' on ["pi-worker-3"]
2025-06-18T22:00:00.536141 DEBUG  [exec-worker-4] [Bolt::Transport::SSH] Running command 'apt-get update' on pi-worker-3
2025-06-18T22:00:00.537301 DEBUG  [exec-worker-2] [pi-worker-1] Disabling use_agent in net-ssh: ssh-agent is not available
2025-06-18T22:00:00.537425 DEBUG  [exec-worker-1] [pi-master] Disabling use_agent in net-ssh: ssh-agent is not available
2025-06-18T22:00:00.538619 DEBUG  [exec-worker-3] [pi-worker-2] Disabling use_agent in net-ssh: ssh-agent is not available
2025-06-18T22:00:00.539457 DEBUG  [exec-worker-4] [pi-worker-3] Disabling use_agent in net-ssh: ssh-agent is not available
2025-06-18T22:00:02.372973 INFO   [exec-worker-4] [Bolt::Executor] {"target":"pi-worker-3","action":"command","object":"apt-get update","status":"success","value":{"stdout":"Hit:1 http://deb.debian.org/debian bookworm InRelease\nHit:2 http://deb.debian.org/debian-security bookworm-security InRelease\nHit:3 http://deb.debian.org/debian bookworm-updates InRelease\nHit:4 http://archive.raspberrypi.com/debian bookworm InRelease\nReading package lists...\n","stderr":"","merged_output":"Hit:1 http://deb.debian.org/debian bookworm InRelease\nHit:2 http://deb.debian.org/debian-security bookworm-security InRelease\nHit:3 http://deb.debian.org/debian bookworm-updates InRelease\nHit:4 http://archive.raspberrypi.com/debian bookworm InRelease\nReading package lists...\n","exit_code":0}}
